Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Meta: _flipsart_number
variation,flipsart007-50x70,Interior with Record Player – 50 × 70 cm,1,0,visible,,Medium Edition: 50 × 70 cm. Edition of 7. Price incl. 6% VAT: €250.,taxable,,1,7,0,1,250,,,,flipsart007,Size,50x70,1,1,,,,,,,,,,007
variation,flipsart007-70x100,Interior with Record Player – 70 × 100 cm,1,0,visible,,Large Edition: 70 × 100 cm. Edition of 5. Price incl. 6% VAT: €350.,taxable,,1,5,0,1,350,,,,flipsart007,Size,70x100,1,1,,,,,,,,,,007
variable,flipsart008,The Funk Expedition,1,0,visible,Digital Painting on Canvas · 2025 · Editioned Artwork · Numbered Certificate of Authenticity included.,"Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas.
Year: 2025.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,,,0,1,,Art,"FLIPSART, Editioned canvas, Digital painting","https://shop.flipsight.be/wp-content/uploads/2026/05/flips008.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips008a.jpeg",,Size,"70x70, 120x120",1,1,70x70,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,Digital Painting on Canvas,1,0,008
variation,flipsart008-70x70,The Funk Expedition – 70 × 70 cm,1,0,visible,,Medium Edition: 70 × 70 cm. Edition of 7. Price incl. 6% VAT: €270.,taxable,,1,7,0,1,270,,,,flipsart008,Size,70x70,1,1,,,,,,,,,,008
variation,flipsart008-120x120,The Funk Expedition – 120 × 120 cm,1,0,visible,,Large Edition: 120 × 120 cm. Edition of 5. Price incl. 6% VAT: €400.,taxable,,1,5,0,1,400,,,,flipsart008,Size,120x120,1,1,,,,,,,,,,008
variable,flipsart009,The Last Floating Signal,1,0,visible,Digital Painting on Canvas · 2025 · Editioned Artwork · Numbered Certificate of Authenticity included.,"Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas.
Year: 2025.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,,,0,1,,Art,"FLIPSART, Editioned canvas, Digital painting","https://shop.flipsight.be/wp-content/uploads/2026/05/flips009.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips009a.jpeg",,Size,"90x60, 120x70",1,1,90x60,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,Digital Painting on Canvas,1,0,009
variation,flipsart009-90x60,The Last Floating Signal – 90 × 60 cm,1,0,visible,,Medium Edition: 90 × 60 cm. Edition of 7. Price incl. 6% VAT: €270.,taxable,,1,7,0,1,270,,,,flipsart009,Size,90x60,1,1,,,,,,,,,,009
variation,flipsart009-120x70,The Last Floating Signal – 120 × 70 cm,1,0,visible,,Large Edition: 120 × 70 cm. Edition of 5. Price incl. 6% VAT: €350.,taxable,,1,5,0,1,350,,,,flipsart009,Size,120x70,1,1,,,,,,,,,,009
variable,flipsart010,A Study in Deep Blue,1,0,visible,Digital Painting on Canvas · 2025 · Editioned Artwork · Numbered Certificate of Authenticity included.,"Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas.
Year: 2025.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,,,0,1,,Art,"FLIPSART, Editioned canvas, Digital painting",https://shop.flipsight.be/wp-content/uploads/2026/05/flips10.jpeg,,Size,"50x70, 70x100",1,1,50x70,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,Digital Painting on Canvas,1,0,010
variation,flipsart010-50x70,A Study in Deep Blue – 50 × 70 cm,1,0,visible,,Medium Edition: 50 × 70 cm. Edition of 7. Price incl. 6% VAT: €250.,taxable,,1,7,0,1,250,,,,flipsart010,Size,50x70,1,1,,,,,,,,,,010
variation,flipsart010-70x100,A Study in Deep Blue – 70 × 100 cm,1,0,visible,,Large Edition: 70 × 100 cm. Edition of 5. Price incl. 6% VAT: €350.,taxable,,1,5,0,1,350,,,,flipsart010,Size,70x100,1,1,,,,,,,,,,010
variable,flipsart011,After the Matinée,1,0,visible,Digital Painting on Canvas · 2025 · Editioned Artwork · Numbered Certificate of Authenticity included.,"Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas.
Year: 2025.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,,,0,1,,Art,"FLIPSART, Editioned canvas, Digital painting","https://shop.flipsight.be/wp-content/uploads/2026/05/flips11.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips11a.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips11b.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips11c.jpeg",,Size,"70x50, 120x90",1,1,70x50,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,Digital Painting on Canvas,1,0,011
variation,flipsart011-70x50,After the Matinée – 70 × 50 cm,1,0,visible,,Medium Edition: 70 × 50 cm. Edition of 7. Price incl. 6% VAT: €250.,taxable,,1,7,0,1,250,,,,flipsart011,Size,70x50,1,1,,,,,,,,,,011
variation,flipsart011-120x90,After the Matinée – 120 × 90 cm,1,0,visible,,Large Edition: 120 × 90 cm. Edition of 5. Price incl. 6% VAT: €350.,taxable,,1,5,0,1,350,,,,flipsart011,Size,120x90,1,1,,,,,,,,,,011
variable,flipsart012,Pacific Playback,1,0,visible,Digital Painting on Canvas · 2025 · Editioned Artwork · Numbered Certificate of Authenticity included.,"Editioned digital painting on canvas from THE FUTURE IN REVERSE, the FLIPSART visual archive of FLIPSIGHT’s first three years. Published by FLIPSIGHT and released in conjunction with the FLIPSART exhibition series. Numbered Certificate of Authenticity included.

Medium: Digital Painting on Canvas.
Year: 2025.
Category: Art.
Published by FLIPSIGHT
Antwerp, Belgium",taxable,,,,0,1,,Art,"FLIPSART, Editioned canvas, Digital painting","https://shop.flipsight.be/wp-content/uploads/2026/05/flips12.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips12a.jpeg, https://shop.flipsight.be/wp-content/uploads/2026/05/flips12b.jpeg",,Size,"70x50, 80x120",1,1,70x50,Each work is delivered with,"Certificate of Authenticity
Edition Number
Holographic FLIPSIGHT Seal
Archival canvas print on 260 g/m² artist canvas
38 mm gallery stretcher frame
Ready to hang",1,0,Medium,Digital Painting on Canvas,1,0,012
variation,flipsart012-70x50,Pacific Playback – 70 × 50 cm,1,0,visible,,Medium Edition: 70 × 50 cm. Edition of 7. Price incl. 6% VAT: €250.,taxable,,1,7,0,1,250,,,,flipsart012,Size,70x50,1,1,,,,,,,,,,012
variation,flipsart012-80x120,Pacific Playback – 80 × 120 cm,1,0,visible,,Large Edition: 80 × 120 cm. Edition of 5. Price incl. 6% VAT: €350.,taxable,,1,5,0,1,350,,,,flipsart012,Size,80x120,1,1,,,,,,,,,,012
